id,nome_do_produto,nome_da_empresa,data_de_fabricacao,data_de_validade,numero_de_serie,instrucoes_de_armazenamento
25,amoxicillin and clavulanate potassium,Ranbaxy Pharmaceuticals Inc.,2019-11-27,2023-09-05,VG63 RMYZ 6180 0116 0954 2986,turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices
26,"cholecalciferol, .alpha.-tocopherol succinate, d-, thiamine mononitrate, riboflavin, niacinamide, pyridoxine hydrochloride, folic acid, cyanocobalamin, biotin, calcium pantothenate, iron sucrose, heme iron polypeptide, potassium iodide, zinc oxide, sodium selenate and copper gluconate",Virtus Pharmaceuticals LLC,2019-10-22,2022-11-03,GT16 F7JG BDCE D3ZU JCKX 9PMM 7W1A,tempus semper est quam pharetra magna ac consequat metus sapien ut nunc
27,Metformin Hydrochloride,MARKSANS PHARMA LIMITED,2020-07-04,2024-03-21,RS62 9316 2014 6262 3927 92,eleifend quam a odio in hac habitasse platea dictumst maecenas
28,Human Insulin,"Physicians Total Care, Inc.",2019-09-16,2023-12-14,MK96 8320 4IVQ TJEW A14,libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a
29,Levothyroxine Sodium,AbbVie Inc.,2019-09-21,2022-08-25,AD89 9381 1881 9LEK 4SIV TLRP,primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat
30,AZTREONAM,"Fresenius Kabi USA, LLC",2020-05-08,2023-01-27,SE46 8139 3709 4695 3153 4935,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien
31,riociguat,Bayer HealthCare Pharmaceuticals Inc.,2020-02-02,2023-02-26,FR24 7980 2409 18H5 UFUO 2TGW 062,orci eget orci vehicula condimentum curabitur in libero ut massa
32,TOPOTECAN HYDROCHLORIDE,"Fresenius Kabi USA, LLC",2020-01-18,2023-07-21,SE17 9062 3940 0688 2926 6726,odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam
33,"Baptisia tinctoria, Calcarea carbonica, Carbo vegetabilis, Kreosotum, Magnesia phosphorica, Mercurius vivus, Phosphorus, Sulphur",King Bio Inc.,2019-11-16,2023-08-10,EE48 9500 9960 6177 2906,non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla
34,PRIMULA VERIS EXTRACT ONOPORDUM HYOSCYAMUS NIGER,Uriel Pharmacy Inc,2020-05-01,2023-07-17,MD05 ZNMZ EQKF 2ZIP TPTP ABYT,cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel
35,metoprolol tartrate,"PD-Rx Pharmaceuticals, Inc.",2019-08-25,2023-09-27,MD97 UHLH GXKR MCO8 MEWQ 8DQZ,felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis
36,SIMETHICONE,"Western Family Foods, Inc.",2020-06-05,2022-10-03,IT97 H467 4220 918A 637W UM9A IAR,metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero
37,OCTINOXATE and TITANIUM DIOXIDE,SHISEIDO AMERICA INC.,2019-10-12,2024-08-10,BE93 9220 7304 0572,leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio
38,ALLANTOIN,Dr. Forhair,2020-04-12,2022-09-22,NL87 OKHY 8620 0157 48,convallis nulla neque libero convallis eget eleifend luctus ultricies eu
39,ENALAPRIL MALEATE,"PD-Rx Pharmaceuticals, Inc.",2020-06-05,2023-08-28,BG97 QJEG 5210 54MX QNM3 YY,tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida
40,Aluminum Sesquichlorohydrate,Ventura Corporation LTD.,2020-08-04,2023-01-10,AT86 9233 2167 0466 9827,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor
41,Naloxone Hydrochloride,"General Injectables & Vaccines, Inc",2019-12-05,2023-09-30,GB64 UNTU 9618 9117 4778 76,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec
42,Alcohol,Kimberly-Clark Corporation,2020-02-10,2022-12-03,PL13 8539 7410 8271 4687 3848 7029,erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper
43,Acetaminophen and Aspirin and Caffeine,"A&Z Pharmaceutical, Inc.",2019-09-09,2024-03-10,MR48 8374 0999 7572 8008 1012 372,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida
44,Strawberry,"Antigen Laboratories, Inc.",2019-11-06,2023-07-24,FR89 9663 7265 35MT FRLU TRMY R37,odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero
45,Ondansetron,REMEDYREPACK INC.,2020-04-23,2023-10-20,EE73 9200 6349 6233 5154,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla
46,Hydrocortisone,Rebel Distributors Corp,2020-05-29,2023-07-29,AL39 6178 8790 DA59 Q46Q LNIK UQAL,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac
47,olmesartan medoxomil and hydrochlorothiazide,"Physicians Total Care, Inc.",2020-02-14,2023-10-26,FR07 5299 0382 75SA J0UK OGJT 293,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel
48,Cetirizine HCl,L. Perrigo Company,2019-11-24,2024-04-14,FR38 4690 2458 066V K6WI BV0X J96,donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit
49,Aluminum Zirconium Tetrachlorohydrex Gly,"Church & Dwight Co., Inc.",2020-06-15,2024-03-26,FR90 2699 5474 633M EEZP ZPPT E49,arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum
50,Elm American,"ALK-Abello, Inc.",2020-08-05,2024-06-19,HU75 9953 6197 3986 1767 4338 6027,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam
51,Miconazole nitrate,Cardinal Health Inc.,2020-02-07,2022-08-23,SM31 K757 4182 672E XX3Y AI8I 21J,massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim
52,"Arsenic Trioxide, Calcium Carbonate, Strychnos Ignatii Seed, Potassium Carbonate, Lachesis Muta Venom, Sodium Chloride, Phosphorus, Pulsatilla","Natural Creations, Inc.",2019-09-07,2022-12-28,NL79 ZMZG 2920 5600 90,dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis
53,"Hypromellose, Tetrahydrozoline hydrochloride",Rohto Pharmaceutical Co Ltd,2020-02-08,2022-09-29,AT06 8791 4478 4580 5381,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam
54,"CAMPHOR, MENTHOL, METHYL SALICYLATE","DLC Laboratories, Inc.",2020-03-27,2022-12-08,IE14 MRYO 1865 3139 3195 86,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla
55,Cetylpyridinium Chloride,Triumph Pharmaceuticals Inc.,2020-02-21,2023-11-02,SA75 42ZD AKDS C0JQ B8DM KZS5,nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu
56,Duloxetine Hydrochloride,Prasco Laboratories,2019-12-23,2022-08-28,FR57 3221 6349 54T1 BPFE HTPY D57,mauris morbi non lectus aliquam sit amet diam in magna bibendum
57,OXYGEN,Rochester Welding Supply Corp.,2019-12-23,2023-06-25,DK92 7646 3732 9281 98,ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras
58,Triclosan,PureTek Corporation,2020-02-17,2024-08-13,GT82 ZM1Y PG8O HPLR IBVT WMON GF0S,nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id
59,Octinoxate and Avobenzone,Boots Retail USA Inc,2020-04-15,2024-03-11,GI67 ZIYI 6DPK JXTZ SWHN 56W,porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi
60,Amoxicillin,A-S Medication Solutions LLC,2020-02-13,2024-07-24,FR51 2714 4179 95M8 VXAP LLAT P24,erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi
61,zoledronic acid,Sagent Pharmaceuticals,2019-10-02,2024-04-25,GT12 AUI8 IGBO LFIZ REQZ AXM4 LA9B,consequat in consequat ut nulla sed accumsan felis ut at dolor
62,Montelukast,"International Labs, Inc.",2019-10-17,2023-05-04,FR37 1662 6241 18VN 1DXL JTEN P02,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed
63,Diphenhydramine HCl,"Good Sense (Geiss, Destin & Dunn, Inc.)",2020-03-15,2023-10-11,BA61 0621 2141 6791 8331,in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc
64,"DNA, RNA, Sabal serrulata, Cortisol (hydrocortisone), Glandula suprarenalis, Hypothalamus, Pituitary, Testosterone, Chelidonium majus, Thuja occidentalis,",Apotheca Company,2019-11-14,2023-07-16,SK40 1601 1941 8828 7933 3409,consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi
65,Ketoconazole,Bryant Ranch Prepack,2020-03-08,2024-05-11,TR90 6169 4PO6 UR02 N01M ODBJ AF,sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod
66,ramelteon,Rebel Distributors Corp,2019-11-28,2023-01-11,MK40 5207 BV30 URIP B51,quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis
67,Theophylline,Bryant Ranch Prepack,2020-03-13,2023-09-04,VG84 OWTM 1472 1411 5148 0515,fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget
68,ranitidine,Carilion Materials Management,2020-04-11,2022-12-04,GR14 2554 7836 LPSC 4WHU BDZO MYI,ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae
69,Hydroxyzine Hydrochloride,"KVK-Tech, Inc.",2020-07-27,2023-09-22,SA94 31GT S8JN MOH2 JQLJ SLQX,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed
70,BUPRENORPHINE HYDROCHLORIDE,REMEDYREPACK INC.,2020-01-10,2024-06-30,MD58 GUMR NBYT RUCK KJMI 7TCV,posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in
71,temazepam,Cardinal Health,2020-01-02,2022-10-11,MD34 ELGK KKGZ RMBR 0UAV UCPY,eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat
72,Bismuth subsalicylate,Breakthrough Products Inc.,2020-06-28,2023-04-19,FR81 5509 8183 91PJ TJFI YDEA X20,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo
73,fomitopsis pinicola,Sanum Kehlbeck GmbH & Co. KG,2020-08-02,2023-05-30,GL11 5546 5660 3765 23,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra
74,Cetirizine Hydrochloride,Publix Super Markets Inc,2020-06-16,2023-09-12,DE60 3899 0741 0052 3989 00,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta
75,Ceftriaxone Sodium,Apotex Corporation,2020-07-24,2024-08-05,FR21 3469 5420 51VE JSBB O8UA C84,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus
76,Ondansetron Hydrochloride,"Ascend Laboratories, LLC",2020-05-16,2024-03-04,FR88 8036 8709 91PF KZXH AMUO Z91,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor
77,magnesium hydroxide,Chain Drug Marketing Association,2020-05-23,2022-09-11,SM12 C063 8164 133J ZLUW GWQG DS0,consequat lectus in est risus auctor sed tristique in tempus sit amet sem
78,Tramadol Hydrochloride,REMEDYREPACK INC.,2020-03-26,2023-03-04,IT66 W306 4398 959O LNTE GRZR MPN,est risus auctor sed tristique in tempus sit amet sem
79,Sulindac,Bryant Ranch Prepack,2020-03-20,2022-09-25,RO97 GXSQ 59T5 QFNJ W1DR 4EQS,justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum
80,OCTINOXATE,Parfums Christian Dior,2020-02-11,2022-08-28,PT96 3021 3592 1577 4477 8301 7,dolor sit amet consectetuer adipiscing elit proin interdum mauris non
81,Ciclopirox,Sandoz,2020-02-05,2022-10-31,FR27 3212 3866 76CK YJXW YI8L V14,turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed
82,Quiet Calm,Apotheca Company,2020-07-12,2023-12-25,MC62 3591 8297 64WS SFQQ R70Q 069,at turpis a pede posuere nonummy integer non velit donec diam
83,"Titanium Dioxide, OCTINOXATE, Zinc Oxide","TONYMOLY CO., LTD.",2020-03-31,2023-03-04,SA87 60CL KCPO 1ERX XL0X RCHR,hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt
84,False Ragweed,"Nelco Laboratories, Inc.",2020-06-16,2023-04-15,MC79 2439 1404 33UD V75M FVYR 829,mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices
85,zinc,Sanum Kehlbeck GmbH & Co. KG,2019-12-01,2023-03-17,RS92 9433 8141 0377 3730 54,magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus
86,Povidone-Iodine,"Jiangsu Province JianErKang Medical Dressing Co. ,Ltd.",2020-08-15,2024-02-12,MT54 PIYI 2876 1HGD T0HT WF72 VQDM T9L,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui
87,methocarbamol,KAISER FOUNDATION HOSPITALS,2020-04-08,2024-08-04,TN41 3019 8864 9532 5310 2930,congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus
88,Meclizine HCl,Rugby Laboratories Inc.,2019-09-13,2024-05-27,FR04 9454 2424 78LJ DU1M 37FV Z64,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh
89,Oak California Live Coast,"ALK-Abello, Inc.",2020-01-12,2022-12-30,FI36 8868 1543 6150 99,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus
90,nifedipine,"Aphena Pharma Solutions - Tennessee, LLC",2019-09-18,2022-11-10,AZ42 CCUT OUHQ STRR TREB RJ2B S089,tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh
91,everolimus,Novartis Pharmaceuticals Corporation,2020-01-31,2024-02-26,SE16 4434 0452 1373 0828 0700,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus
92,Cranberry,"Nelco Laboratories, Inc.",2020-02-27,2022-11-18,MD96 GDW7 HVV0 X7RV S5KG S5NF,aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate
93,"Arnica Montana, Deer Antler Velvet, Hepar Bovinum, HGH, IGF, Pituitary Bovinum, Thuja Occidentalis",Fitness Systems Mfg Corp,2019-09-19,2023-12-22,BH66 FEUU FRZO IH86 7SRE RM,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam
94,LIDOCAINE,Desert Harvest Inc.,2019-12-07,2023-06-17,CH94 9782 7MK3 KCHW D70X P,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus
95,zidovudine,Mylan Pharmaceuticals Inc.,2019-09-23,2022-11-18,GI87 LCRZ G9Q4 OVQ8 WJUE NMO,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec
96,epoprostenol,"Actelion Pharmaceuticals US, Inc.",2020-04-17,2022-11-08,FR64 9808 3682 84U0 UM9E G0OO H59,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna
97,LIDOCAINE HYDROCHLORIDE ANHYDROUS,Cardinal Health,2020-05-06,2023-12-29,LT93 2743 3570 5150 8422,eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin
98,Olanzapine,Teva Pharmaceuticals USA Inc,2019-10-03,2023-10-26,FR91 8924 6906 37IM BQFF GW3B D22,donec dapibus duis at velit eu est congue elementum in hac habitasse platea
99,ONION - ARSENIC TRIOXIDE - FERROSOFERRIC PHOSPHATE - CANIS LUPUS FAMILIARIS MILK - SODIUM CHLORIDE - STRYCHNOS NUX-VOMICA SEED -,"Homeostasis Laboratories, Inc.",2020-01-11,2024-08-04,NO70 2715 5541 242,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in
100,Topiramate,AvPAK,2020-01-07,2024-05-30,BE81 7116 6270 6597,ut mauris eget massa tempor convallis nulla neque libero convallis
101,Ibuprofen,TOP CARE (Topco Associates LLC),2020-04-27,2023-07-17,LU15 733J F1OC CNRI Y8A0,turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan
102,"Benzocaine, Menthol","Church & Dwight Co., Inc.",2019-09-05,2023-06-21,PS33 LPBD KZSU JLN3 ENG7 XWUL WWMS Q,quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin
103,oxymorphone hydrochloride,Endo Pharmaceuticals Inc.,2019-11-26,2022-10-04,SA77 600K RICS NKAD GTEP 6NL4,suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum
104,"Bacitracin Zinc, Polymyxin B Sulfate",Walgreen Company,2020-03-12,2024-03-08,SK28 8997 3964 0385 8005 0379,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus
105,"SULFACETAMIDE SODIUM, SULFUR",Mission Pharmacal Company,2020-02-07,2023-12-30,MK15 681P 01GE HSWE D88,odio donec vitae nisi nam ultrices libero non mattis pulvinar
106,Octinoxate and Oxybenzone,Ventura Corporation LTD.,2020-07-02,2022-10-07,IS30 0489 4768 3164 1128 6155 44,ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh
107,Dimethicone,China Ningbo Shangge Cosmetic Technology Corp.,2019-10-15,2024-02-10,MR36 0113 9868 0886 1771 9829 760,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit
108,POVIDONE-IODINE,Dalian Goodwood Medical Care Ltd.,2019-10-07,2023-09-11,FR98 1492 3342 60IA ZAAV NI0B Y37,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu
109,BENZALKONIUM CHLORIDE,Sanihealth Products Corporation,2020-03-09,2022-09-30,TR09 7603 1HBV 4RZU RRSN R1QL C2,ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo
110,cetirizine Hydrochloride,Cardinal Health,2019-11-11,2023-10-16,MK48 271L QG0F XSFB L97,eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra
111,Salicylic Acid,Delta Brands Inc,2019-12-27,2023-09-18,PT25 6216 9820 9842 7345 1195 4,cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non
112,metformin hydrochloride,Major Pharmaceuticals,2020-01-03,2023-06-12,FR41 3541 7340 48SS 76C1 SUZL E30,justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan
113,vardenafil hydrochloride,"APHENA PHARMA SOLUTIONS - TENNESSEE, INC.",2020-07-01,2024-01-10,FR79 6008 9233 61EZ WV5S DWN9 Q67,sapien ut nunc vestibulum ante ipsum primis in faucibus orci
114,sodium fluoride,"Cypress Pharmaceutical, Inc.",2019-11-11,2024-07-29,IT77 R239 7514 589A LENR JTVZ GQF,nisi eu orci mauris lacinia sapien quis libero nullam sit amet
115,Cephalexin,"Liberty Pharmaceuticals, Inc.",2020-06-02,2023-05-20,DE66 3537 8261 8915 2116 80,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor
116,Benzocaine,Darby Dental Supply LLC,2020-06-06,2023-01-02,AD86 5795 3958 KIPV W5NI QX8J,a feugiat et eros vestibulum ac est lacinia nisi venenatis
117,Calcium Carbonate,Publix Super Markets Inc,2019-09-04,2023-01-22,FR73 7425 7585 02HK HFFH GTQX O56,mauris eget massa tempor convallis nulla neque libero convallis eget
118,OCTINOXATE,Kosan Kozmetik Sanayi ve Ticaret A.S.,2019-08-29,2023-05-21,NO95 8713 8471 311,nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere
119,SODIUM MONOFLUOROPHOSPHATE,"Mission Hills, S.A. de C.V.",2020-06-26,2024-02-28,NO03 4344 0029 712,congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin
120,Octinoxate and Oxybenzone,Ventura Corporation LTD,2020-05-18,2023-07-20,LT39 1645 5945 8224 6437,ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum
121,LIDOCAINE HYDROCHLORIDE,"APP Pharmaceuticals, LLC",2019-08-29,2024-07-15,FR73 0634 1343 17J4 X0JX KDTC 635,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec
122,hydrocortisone butyrate,"Triax Pharmaceuticals, LLC",2020-08-06,2022-12-30,PT89 4935 1144 0828 8878 2211 8,at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor
123,"Mineral oil, petrolatum, phenylephrine hcl",Kroger Company,2020-03-27,2023-08-28,FR14 4423 4229 076B RORY ZZIC U73,nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer
124,Octinoxate and Titanium dioxide,"SHISEIDO CO., LTD.",2020-02-19,2023-12-04,FO57 2461 5572 4156 49,vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat
